學年度,階段,學號,宿舍,房號
104,第一志願,0210711,七宿舍,)02
104,第一志願, 0210769,七宿舍,)02
104,第一志願, 0211530,七宿舍,)02
104,第一志願, 0211534,七宿舍,)02
104,第一志願,0313206,七宿舍,)03
104,第一志願, 0313224,七宿舍,)03
104,第一志願, 0313225,七宿舍,)03
104,第一志願, 0313254,七宿舍,)03
104,第一志願,0110867,七宿舍,)01
104,第一志願, 0116301,七宿舍,)01
104,第一志願, 0216050,七宿舍,)01
104,第一志願, 0316067,七宿舍,)01
104,第一志願,0312240,七宿舍,)03
104,第一志願, 0312242,七宿舍,)03
104,第一志願, 0312248,七宿舍,)03
104,第一志願, 0312260,七宿舍,)03
104,第一志願,0211002,七宿舍,)02
104,第一志願, 0211007,七宿舍,)02
104,第一志願, 0211022,七宿舍,)02
104,第一志願, 0211064,七宿舍,)02
104,第一志願,0310004,七宿舍,)03
104,第一志願, 0310005,七宿舍,)03
104,第一志願, 0310023,七宿舍,)03
104,第一志願, 0310030,七宿舍,)03
104,第一志願,0111602,七宿舍,)01
104,第一志願, 0116005,七宿舍,)01
104,第一志願, 0116014,七宿舍,)01
104,第一志願, 0116320,七宿舍,)01
104,第一志願,0211119,七宿舍,)02
104,第一志願, 0211120,七宿舍,)02
104,第一志願, 0212263,七宿舍,)02
104,第一志願, 0212264,七宿舍,)02
104,第一志願,0313102,七宿舍,)03
104,第一志願, 0313123,七宿舍,)03
104,第一志願, 0313140,七宿舍,)03
104,第一志願, 0313148,七宿舍,)03
104,第一志願,0312216,七宿舍,)03
104,第一志願, 0312234,七宿舍,)03
104,第一志願, 0312235,七宿舍,)03
104,第一志願, 0312241,七宿舍,)03
104,第一志願,0313222,七宿舍,)03
104,第一志願, 0313229,七宿舍,)03
104,第一志願, 0313234,七宿舍,)03
104,第一志願, 0313235,七宿舍,)03
104,第一志願,0310177,七宿舍,)03
104,第一志願, 0310739,七宿舍,)03
104,第一志願, 0310777,七宿舍,)03
104,第一志願, 0310832,七宿舍,)03
104,第一志願,0211502,七宿舍,)02
104,第一志願, 0211509,七宿舍,)02
104,第一志願, 0211524,七宿舍,)02
104,第一志願, 0211553,七宿舍,)02
104,第一志願,0311004,七宿舍,)03
104,第一志願, 0311034,七宿舍,)03
104,第一志願, 0311045,七宿舍,)03
104,第一志願, 0311058,七宿舍,)03
104,第一志願,0313304,七宿舍,)03
104,第一志願, 0313306,七宿舍,)03
104,第一志願, 0313331,七宿舍,)03
104,第一志願, 0313340,七宿舍,)03
104,第一志願,0313404,七宿舍,)03
104,第一志願, 0313414,七宿舍,)03
104,第一志願, 0313420,七宿舍,)03
104,第一志願, 0313470,七宿舍,)03
104,第一志願,0110128,七宿舍,)01
104,第一志願, 0110133,七宿舍,)01
104,第一志願, 0110139,七宿舍,)01
104,第一志願, 0112221,七宿舍,)01
104,第一志願,0310753,七宿舍,)03
104,第一志願, 0310754,七宿舍,)03
104,第一志願, 0310781,七宿舍,)03
104,第一志願, 0310846,七宿舍,)03
104,第一志願,0312219,七宿舍,)03
104,第一志願, 0312222,七宿舍,)03
104,第一志願, 0312226,七宿舍,)03
104,第一志願, 0312249,七宿舍,)03
104,第一志願,0311015,七宿舍,)03
104,第一志願, 0311028,七宿舍,)03
104,第一志願, 0311072,七宿舍,)03
104,第一志願, 0311086,七宿舍,)03
104,第一志願,0313209,七宿舍,)03
104,第一志願, 0313231,七宿舍,)03
104,第一志願, 0313241,七宿舍,)03
104,第一志願, 0313251,七宿舍,)03
104,第一志願,0313328,七宿舍,)03
104,第一志願, 0313344,七宿舍,)03
104,第一志願, 0313350,七宿舍,)03
104,第一志願, 0313359,七宿舍,)03
104,第一志願,0311503,七宿舍,)03
104,第一志願, 0311517,七宿舍,)03
104,第一志願, 0311527,七宿舍,)03
104,第一志願, 0319002,七宿舍,)03
104,第一志願,0310110,七宿舍,)03
104,第一志願, 0310125,七宿舍,)03
104,第一志願, 0310173,七宿舍,)03
104,第一志願, 0310180,七宿舍,)03
104,第一志願,0113207,七宿舍,)01
104,第一志願, 0113208,七宿舍,)01
104,第一志願, 0113222,七宿舍,)01
104,第一志願, 0113248,七宿舍,)01
104,第一志願,0311279,七宿舍,)03
104,第一志願, 0312237,七宿舍,)03
104,第一志願, 0312245,七宿舍,)03
104,第一志願, 0312254,七宿舍,)03
104,第一志願,0111022,七宿舍,)01
104,第一志願, 0111047,七宿舍,)01
104,第一志願, 0111048,七宿舍,)01
104,第一志願, 0111061,七宿舍,)01
104,第一志願,0115411,七宿舍,)01
104,第一志願, 0115437,七宿舍,)01
104,第一志願, 0115438,七宿舍,)01
104,第一志願, 0115442,七宿舍,)01
104,第一志願,0311218,七宿舍,)03
104,第一志願, 0311234,七宿舍,)03
104,第一志願, 0311237,七宿舍,)03
104,第一志願, 0311248,七宿舍,)03
104,第一志願,0313233,七宿舍,)03
104,第一志願, 0313253,七宿舍,)03
104,第一志願, 0313255,七宿舍,)03
104,第一志願, 0313257,七宿舍,)03
104,第一志願,0213202,七宿舍,)02
