學年度,階段,學號,宿舍,房號
98,第一志願,9713027,十三宿,101
98,第一志願, 9713039,十三宿,101
98,第一志願, 9713040,十三宿,101
98,第一志願, 9713085,十三宿,101
98,第一志願,9713090,十三宿,102
98,第一志願, 9721105,十三宿,102
98,第一志願, 9721111,十三宿,102
98,第一志願, 9721135,十三宿,102
98,第一志願,9717041,九宿舍,106
98,第一志願, 9717042,九宿舍,106
98,第一志願, 9717047,九宿舍,106
98,第一志願, 9717143,九宿舍,106
98,第一志願,9721017,八宿舍,103
98,第一志願, 9721036,八宿舍,103
98,第一志願, 9721041,八宿舍,103
98,第一志願, 9722051,八宿舍,103
98,第一志願,9444004,九宿舍,110
98,第一志願, 9717008,九宿舍,110
98,第一志願, 9717037,九宿舍,110
98,第一志願, 9717141,九宿舍,110
98,第一志願,9710008,十三宿,103
98,第一志願, 9710013,十三宿,103
98,第一志願, 9710022,十三宿,103
98,第一志願, 9710024,十三宿,103
98,第一志願,9516045,九宿舍,113
98,第一志願, 9516053,九宿舍,113
98,第一志願, 9516055,九宿舍,113
98,第一志願, 9516056,九宿舍,113
98,第一志願,9617037,九宿舍,115
98,第一志願, 9617126,九宿舍,115
98,第一志願, 9617146,九宿舍,115
98,第一志願, 9617187,九宿舍,115
98,第一志願,9728027,九宿舍,119
98,第一志願, 9728029,九宿舍,119
98,第一志願, 9728034,九宿舍,119
98,第一志願, 9728043,九宿舍,119
98,第一志願,9714006,八宿舍,105
98,第一志願, 9714020,八宿舍,105
98,第一志願, 9714032,八宿舍,105
98,第一志願, 9714066,八宿舍,105
98,第一志願,9728001,九宿舍,123
98,第一志願, 9728009,九宿舍,123
98,第一志願, 9728036,九宿舍,123
98,第一志願, 9728042,九宿舍,123
98,第一志願,9708002,十三宿,104
98,第一志願, 9708014,十三宿,104
98,第一志願, 9708017,十三宿,104
98,第一志願, 9708018,十三宿,104
98,第一志願,9513103,十三宿,105
98,第一志願, 9513106,十三宿,105
98,第一志願, 9521025,十三宿,105
98,第一志願, 9521030,十三宿,105
98,第一志願,9711068,十三宿,111
98,第一志願, 9711069,十三宿,111
98,第一志願, 9711099,十三宿,111
98,第一志願, 9716093,十三宿,111
98,第一志願,9516092,九宿舍,124
98,第一志願, 9716068,九宿舍,124
98,第一志願, 9717152,九宿舍,124
98,第一志願, 9717182,九宿舍,124
98,第一志願,9516098,十三宿,112
98,第一志願, 9617179,十三宿,112
98,第一志願, 9618038,十三宿,112
98,第一志願, 9714079,十三宿,112
98,第一志願,9712002,十三宿,114
98,第一志願, 9712038,十三宿,114
98,第一志願, 9712046,十三宿,114
98,第一志願, 9712090,十三宿,114
98,第一志願,9717027,十三宿,204
98,第一志願, 9717050,十三宿,204
98,第一志願, 9717241,十三宿,204
98,第一志願, 9717256,十三宿,204
98,第一志願,9712048,八宿舍,106
98,第一志願, 9712049,八宿舍,106
98,第一志願, 9712052,八宿舍,106
98,第一志願, 9712062,八宿舍,106
98,第一志願,9744017,十三宿,207
98,第一志願, 9744021,十三宿,207
98,第一志願, 9744022,十三宿,207
98,第一志願, 9744031,十三宿,207
98,第一志願,9716035,十三宿,208
98,第一志願, 9716040,十三宿,208
98,第一志願, 9716051,十三宿,208
98,第一志願, 9716095,十三宿,208
98,第一志願,9517213,九宿舍,125
98,第一志願, 9522019,九宿舍,125
98,第一志願, 9522033,九宿舍,125
