學年度,階段,學號,宿舍,房號
103,第一志願,0110032,七宿舍,102
103,第一志願, 0112003,七宿舍,102
103,第一志願, 0112027,七宿舍,102
103,第一志願, 0116070,七宿舍,102
103,第一志願,0210501,七宿舍,107
103,第一志願, 0210507,七宿舍,107
103,第一志願, 0210511,七宿舍,107
103,第一志願, 0210521,七宿舍,107
103,第一志願,0211029,七宿舍,108
103,第一志願, 0211041,七宿舍,108
103,第一志願, 0211054,七宿舍,108
103,第一志願, 0211088,七宿舍,108
103,第一志願,0216017,七宿舍,109
103,第一志願, 0216018,七宿舍,109
103,第一志願, 0216028,七宿舍,109
103,第一志願, 0216314,七宿舍,109
103,第一志願,0211503,七宿舍,117
103,第一志願, 0211507,七宿舍,117
103,第一志願, 0211529,七宿舍,117
103,第一志願, 0211546,七宿舍,117
103,第一志願,0212011,七宿舍,118
103,第一志願, 0212102,七宿舍,118
103,第一志願, 0212116,七宿舍,118
103,第一志願, 0212130,七宿舍,118
103,第一志願,0210733,七宿舍,120
103,第一志願, 0210752,七宿舍,120
103,第一志願, 0210772,七宿舍,120
103,第一志願, 0210776,七宿舍,120
103,第一志願,0216203,七宿舍,121
103,第一志願, 0216222,七宿舍,121
103,第一志願, 0216223,七宿舍,121
103,第一志願, 0216241,七宿舍,121
103,第一志願,0210774,七宿舍,124
103,第一志願, 0210799,七宿舍,124
103,第一志願, 0210868,七宿舍,124
103,第一志願, 0210887,七宿舍,124
103,第一志願,0211044,七宿舍,125
103,第一志願, 0211053,七宿舍,125
103,第一志願, 0211093,七宿舍,125
103,第一志願, 0211097,七宿舍,125
103,第一志願,0210748,七宿舍,127
103,第一志願, 0210750,七宿舍,127
103,第一志願, 0210780,七宿舍,127
103,第一志願, 0210845,七宿舍,127
103,第一志願,0212204,七宿舍,129
103,第一志願, 0212236,七宿舍,129
103,第一志願, 0212241,七宿舍,129
103,第一志願, 0212252,七宿舍,129
103,第一志願,0210712,七宿舍,201
103,第一志願, 0210715,七宿舍,201
103,第一志願, 0210735,七宿舍,201
103,第一志願, 0210828,七宿舍,201
103,第一志願,0211513,七宿舍,206
103,第一志願, 0211514,七宿舍,206
103,第一志願, 0211528,七宿舍,206
103,第一志願, 0211552,七宿舍,206
103,第一志願,0217015,七宿舍,212
103,第一志願, 0217029,七宿舍,212
103,第一志願, 0217044,七宿舍,212
103,第一志願, 0217050,七宿舍,212
103,第一志願,0210732,七宿舍,213
103,第一志願, 0210839,七宿舍,213
103,第一志願, 0210843,七宿舍,213
103,第一志願, 0211269,七宿舍,213
103,第一志願,0212209,七宿舍,218
103,第一志願, 0212211,七宿舍,218
103,第一志願, 0212253,七宿舍,218
103,第一志願, 0212257,七宿舍,218
103,第一志願,0212207,七宿舍,219
103,第一志願, 0212234,七宿舍,219
103,第一志願, 0212243,七宿舍,219
103,第一志願, 0212247,七宿舍,219
103,第一志願,0210764,七宿舍,220
103,第一志願, 0210784,七宿舍,220
103,第一志願, 0210785,七宿舍,220
103,第一志願, 0210824,七宿舍,220
103,第一志願,0210508,七宿舍,222
103,第一志願, 0210526,七宿舍,222
103,第一志願, 0210531,七宿舍,222
103,第一志願, 0210532,七宿舍,222
103,第一志願,0013429,七宿舍,223
103,第一志願, 0013433,七宿舍,223
103,第一志願, 0113411,七宿舍,223
103,第一志願, 0116040,七宿舍,223
103,第一志願,0217020,七宿舍,227
103,第一志願, 0217028,七宿舍,227
103,第一志願, 0217040,七宿舍,227
103,第一志願, 0217041,七宿舍,227
103,第一志願,0211023,七宿舍,233
103,第一志願, 0211037,七宿舍,233
103,第一志願, 0211038,七宿舍,233
103,第一志願, 0211103,七宿舍,233
103,第一志願,0217030,七宿舍,234
103,第一志願, 0217032,七宿舍,234
103,第一志願, 0217043,七宿舍,234
103,第一志願, 0217048,七宿舍,234
103,第一志願,0213409,七宿舍,235
103,第一志願, 0213414,七宿舍,235
103,第一志願, 0213419,七宿舍,235
103,第一志願, 0213424,七宿舍,235
103,第一志願,0110893,七宿舍,237
103,第一志願, 0110895,七宿舍,237
103,第一志願, 0110896,七宿舍,237
103,第一志願, 0110897,七宿舍,237
103,第一志願,0211011,七宿舍,307
103,第一志願, 0211012,七宿舍,307
103,第一志願, 0211071,七宿舍,307
103,第一志願, 0211082,七宿舍,307
103,第一志願,0211521,七宿舍,308
103,第一志願, 0211523,七宿舍,308
103,第一志願, 0211525,七宿舍,308
103,第一志願, 0211548,七宿舍,308
103,第一志願,0217007,七宿舍,309
103,第一志願, 0217010,七宿舍,309
103,第一志願, 0217046,七宿舍,309
103,第一志願, 0217053,七宿舍,309
103,第一志願,0211058,七宿舍,311
103,第一志願, 0211059,七宿舍,311
103,第一志願, 0211094,七宿舍,311
103,第一志願, 0211102,七宿舍,311
103,第一志願,0211002,七宿舍,312
103,第一志願, 0211007,七宿舍,312
103,第一志願, 0211022,七宿舍,312
103,第一志願, 0211064,七宿舍,312
103,第一志願,0213425,七宿舍,313
103,第一志願, 0213426,七宿舍,313
103,第一志願, 0213430,七宿舍,313
103,第一志願, 0213431,七宿舍,313
103,第一志願,0110898,七宿舍,314
103,第一志願, 0111114,七宿舍,314
