學年度,階段,學號,宿舍,房號
102,第一志願, 0011241,女二舍,721
102,第一志願, 0011245,女二舍,721
102,第一志願, 0011259,女二舍,721
102,第一志願,0119013,女二舍,722
102,第一志願, 0119017,女二舍,722
102,第一志願, 0119045,女二舍,722
102,第一志願, 0119051,女二舍,722
102,第一志願,0119012,女二舍,733
102,第一志願, 0119019,女二舍,733
102,第一志願, 0119027,女二舍,733
102,第一志願, 0119031,女二舍,733
102,第一志願,0111274,女二舍,744
102,第一志願, 0113412,女二舍,744
102,第一志願, 0113435,女二舍,744
102,第一志願, 0113436,女二舍,744
102,第一志願,0117003,女二舍,751
102,第一志願, 0117006,女二舍,751
102,第一志願, 0117029,女二舍,751
102,第一志願, 0117040,女二舍,751
102,第一志願,0015401,女二舍,762
102,第一志願, 0015405,女二舍,762
102,第一志願, 0015406,女二舍,762
102,第一志願, 0015420,女二舍,762
102,第一志願,0113345,女二舍,763
102,第一志願, 0113361,女二舍,763
102,第一志願, 0113365,女二舍,763
102,第一志願, 0113366,女二舍,763
102,第一志願,0015302,女二舍,764
102,第一志願, 0015307,女二舍,764
102,第一志願, 0015323,女二舍,764
102,第一志願, 0015327,女二舍,764
102,第一志願,0010716,女二舍,773
102,第一志願, 0110770,女二舍,773
102,第一志願, 0110775,女二舍,773
102,第一志願, 0110830,女二舍,773
102,第一志願,9932016,女二舍,784
102,第一志願, 9932031,女二舍,784
102,第一志願, 9932042,女二舍,784
102,第一志願, 9932050,女二舍,784
102,第一志願,0112242,女二舍,811
102,第一志願, 0119016,女二舍,811
102,第一志願, 0119022,女二舍,811
102,第一志願, 0119042,女二舍,811
102,第一志願,0110710,女二舍,812
102,第一志願, 0110726,女二舍,812
102,第一志願, 0110831,女二舍,812
102,第一志願, 0110840,女二舍,812
102,第一志願,0113123,女二舍,822
102,第一志願, 0113128,女二舍,822
102,第一志願, 0113136,女二舍,822
102,第一志願, 0113145,女二舍,822
102,第一志願,0112002,女二舍,823
102,第一志願, 0112022,女二舍,823
102,第一志願, 0112028,女二舍,823
102,第一志願, 0112122,女二舍,823
102,第一志願,0013108,女二舍,824
102,第一志願, 0013109,女二舍,824
102,第一志願, 0013128,女二舍,824
102,第一志願, 0013132,女二舍,824
102,第一志願,0116025,女二舍,831
102,第一志願, 0116068,女二舍,831
102,第一志願, 0116071,女二舍,831
102,第一志願, 0116211,女二舍,831
102,第一志願,0019022,女二舍,833
102,第一志願, 0019024,女二舍,833
102,第一志願, 0019027,女二舍,833
102,第一志願, 0019034,女二舍,833
102,第一志願,0016066,女二舍,843
102,第一志願, 0016072,女二舍,843
102,第一志願, 0016215,女二舍,843
102,第一志願, 0016323,女二舍,843
102,第一志願,0116004,女二舍,853
102,第一志願, 0116087,女二舍,853
102,第一志願, 0116201,女二舍,853
102,第一志願, 0116249,女二舍,853
102,第一志願,0116018,女二舍,854
102,第一志願, 0116074,女二舍,854
102,第一志願, 0116326,女二舍,854
102,第一志願, 0116336,女二舍,854
102,第一志願,0113206,女二舍,862
102,第一志願, 0113210,女二舍,862
102,第一志願, 0113321,女二舍,862
102,第一志願, 0113358,女二舍,862
102,第一志願,0110104,女二舍,872
102,第一志願, 0110109,女二舍,872
102,第一志願, 0110113,女二舍,872
102,第一志願, 0110135,女二舍,872
102,第一志願,0013210,女二舍,874
102,第一志願, 9932005,女二舍,874
102,第一志願, 9932023,女二舍,874
102,第一志願, 9932038,女二舍,874
102,第一志願,0111501,女二舍,883
102,第一志願, 0111513,女二舍,883
102,第一志願, 0111515,女二舍,883
102,第一志願, 0111557,女二舍,883
102,第一志願,0112227,女二舍,884
102,第一志願, 0112245,女二舍,884
102,第一志願, 0112248,女二舍,884
