學年度,階段,學號,宿舍,房號
99,第一志願,9817007,女二舍,314
99,第一志願, 9817027,女二舍,314
99,第一志願, 9817051,女二舍,314
99,第一志願, 9817202,女二舍,314
99,第一志願,9843011,女二舍,321
99,第一志願, 9843024,女二舍,321
99,第一志願, 9843047,女二舍,321
99,第一志願, 9853018,女二舍,321
99,第一志願,9854015,女二舍,322
99,第一志願, 9854021,女二舍,322
99,第一志願, 9854022,女二舍,322
99,第一志願, 9854025,女二舍,322
99,第一志願,9731007,女二舍,333
99,第一志願, 9754007,女二舍,333
99,第一志願, 9754017,女二舍,333
99,第一志願, 9754019,女二舍,333
99,第一志願,9818002,女二舍,362
99,第一志願, 9818020,女二舍,362
99,第一志願, 9818027,女二舍,362
99,第一志願, 9818040,女二舍,362
99,第一志願,9816080,女二舍,371
99,第一志願, 9816086,女二舍,371
99,第一志願, 9853013,女二舍,371
99,第一志願, 9853049,女二舍,371
99,第一志願,9721117,女二舍,431
99,第一志願, 9821101,女二舍,431
99,第一志願, 9821107,女二舍,431
99,第一志願, 9821127,女二舍,431
99,第一志願,9814042,女二舍,441
99,第一志願, 9814043,女二舍,441
99,第一志願, 9814084,女二舍,441
99,第一志願, 9814088,女二舍,441
99,第一志願,9853001,女二舍,443
99,第一志願, 9853005,女二舍,443
99,第一志願, 9853007,女二舍,443
99,第一志願, 9853048,女二舍,443
99,第一志願,9814004,女二舍,444
99,第一志願, 9814073,女二舍,444
99,第一志願, 9814091,女二舍,444
99,第一志願, 9814092,女二舍,444
99,第一志願,9828002,女二舍,461
99,第一志願, 9828031,女二舍,461
99,第一志願, 9832007,女二舍,461
99,第一志願, 9832029,女二舍,461
99,第一志願,9818001,女二舍,463
99,第一志願, 9818005,女二舍,463
99,第一志願, 9818048,女二舍,463
99,第一志願, 9818050,女二舍,463
99,第一志願,9825052,女二舍,471
99,第一志願, 9828039,女二舍,471
99,第一志願, 9828044,女二舍,471
99,第一志願, 9828049,女二舍,471
99,第一志願,9832004,女二舍,473
99,第一志願, 9832016,女二舍,473
99,第一志願, 9832027,女二舍,473
99,第一志願, 9832050,女二舍,473
99,第一志願,9753036,女二舍,474
99,第一志願, 9831005,女二舍,474
99,第一志願, 9831027,女二舍,474
99,第一志願, 9831046,女二舍,474
99,第一志願,9824034,女二舍,481
99,第一志願, 9828025,女二舍,481
99,第一志願, 9828026,女二舍,481
99,第一志願, 9828047,女二舍,481
99,第一志願,9711020,女二舍,484
99,第一志願, 9711040,女二舍,484
99,第一志願, 9833002,女二舍,484
99,第一志願, 9833030,女二舍,484
99,第一志願,9821106,女二舍,514
99,第一志願, 9843018,女二舍,514
99,第一志願, 9843026,女二舍,514
99,第一志願, 9843032,女二舍,514
99,第一志願,9817039,女二舍,541
99,第一志願, 9817134,女二舍,541
99,第一志願, 9817136,女二舍,541
99,第一志願, 9817173,女二舍,541
99,第一志願,9843008,女二舍,544
99,第一志願, 9843041,女二舍,544
99,第一志願, 9843045,女二舍,544
99,第一志願, 9843046,女二舍,544
99,第一志願,9811032,女二舍,551
99,第一志願, 9811039,女二舍,551
99,第一志願, 9811045,女二舍,551
99,第一志願, 9811060,女二舍,551
99,第一志願,9832008,女二舍,552
99,第一志願, 9832010,女二舍,552
99,第一志願, 9832030,女二舍,552
99,第一志願, 9832047,女二舍,552
99,第一志願,9817002,女二舍,561
99,第一志願, 9817030,女二舍,561
99,第一志願, 9817043,女二舍,561
99,第一志願, 9817055,女二舍,561
99,第一志願,9823039,女二舍,581
99,第一志願, 9823088,女二舍,581
